city,state_code,total,virus,virus_p
Mc Adenville,NC,7051,1762,0.250
Mc Farlan,NC,7697,1230,0.160
Marshville,NC,3726,2518,0.676
Matthews,NC,633,547,0.864
Matthews,NC,4023,3236,0.804
Matthews,NC,3128,253,0.081
Midland,NC,151,143,0.947
Mineral Springs,NC,3259,178,0.055
Misenheimer,NC,1694,505,0.298
Monroe,NC,2953,2135,0.723
Monroe,NC,2690,2570,0.955
Monroe,NC,2412,48,0.020
Mooresboro,NC,4696,3022,0.644
Mooresville,NC,6468,257,0.040
Mooresville,NC,3887,1741,0.448
Morven,NC,9782,9197,0.940
Mount Holly,NC,3275,2168,0.662
Mount Mourne,NC,8502,2442,0.287
Mount Pleasant,NC,7025,2,0.000
Mount Ulla,NC,2060,1206,0.585
Newell,NC,403,192,0.476
New London,NC,3295,357,0.108
Norwood,NC,6346,4694,0.740
Oakboro,NC,509,80,0.157
Paw Creek,NC,5417,1209,0.223
Peachland,NC,786,251,0.319
Pineville,NC,7791,635,0.082
Polkton,NC,2423,762,0.314
Polkville,NC,7322,3616,0.494
Richfield,NC,7846,1344,0.171
Rockwell,NC,5242,2937,0.560
Rutherfordton,NC,2863,1100,0.384
Salisbury,NC,6995,6796,0.972
Salisbury,NC,945,700,0.741
Salisbury,NC,8942,6470,0.724
Salisbury,NC,6951,2265,0.326
Shelby,NC,4477,3142,0.702
Shelby,NC,4673,2983,0.638
Shelby,NC,5216,2223,0.426
Spencer,NC,3824,2146,0.561
Spindale,NC,6872,3881,0.565
Stanfield,NC,9985,2665,0.267
Stanley,NC,1179,553,0.469
Troutman,NC,1479,606,0.410
Union Mills,NC,3972,3814,0.960
Vale,NC,3957,3053,0.772
Waco,NC,9566,9526,0.996
Wadesboro,NC,1419,590,0.416
Waxhaw,NC,595,27,0.045
Wingate,NC,2326,1689,0.726
Charlotte,NC,9122,7516,0.824
Charlotte,NC,40,24,0.600
Charlotte,NC,1874,1283,0.685
Charlotte,NC,1847,1585,0.858
Charlotte,NC,1652,201,0.122
Charlotte,NC,1721,1588,0.923
Charlotte,NC,3336,1037,0.311
Charlotte,NC,8207,3337,0.407
Charlotte,NC,6310,2824,0.448
Charlotte,NC,2219,1146,0.516
Charlotte,NC,3553,2766,0.778
Charlotte,NC,5130,126,0.025
Charlotte,NC,2834,206,0.073
Charlotte,NC,3001,479,0.160
Charlotte,NC,4144,297,0.072
Charlotte,NC,6154,2745,0.446
Charlotte,NC,7210,2864,0.397
Charlotte,NC,1384,917,0.663
Charlotte,NC,9054,3393,0.375
Charlotte,NC,7487,6575,0.878
Charlotte,NC,7585,5358,0.706
Charlotte,NC,7902,217,0.027
Charlotte,NC,3803,1591,0.418
Charlotte,NC,4366,3137,0.719
Charlotte,NC,6502,918,0.141
Charlotte,NC,7315,113,0.015
Charlotte,NC,5288,3443,0.651
Charlotte,NC,1363,1228,0.901
Charlotte,NC,6497,3982,0.613
Charlotte,NC,6186,5849,0.946
Charlotte,NC,787,733,0.931
Charlotte,NC,198,157,0.793
Charlotte,NC,1,0,0.000
Charlotte,NC,2059,48,0.023
Charlotte,NC,3221,2853,0.886
Charlotte,NC,8400,4345,0.517
Charlotte,NC,6920,2601,0.376
Charlotte,NC,7513,5688,0.757
Charlotte,NC,9802,198,0.020
Charlotte,NC,6577,1240,0.189
Charlotte,NC,4229,1248,0.295
Charlotte,NC,6906,2498,0.362
Charlotte,NC,1581,1531,0.968
Charlotte,NC,8174,1730,0.212
Charlotte,NC,183,129,0.705
Charlotte,NC,1628,166,0.102
Charlotte,NC,9354,6882,0.736
Charlotte,NC,7980,5040,0.632
Charlotte,NC,1743,1396,0.801
Charlotte,NC,8345,5415,0.649
Charlotte,NC,4941,1751,0.354
Charlotte,NC,970,201,0.207
Charlotte,NC,5871,3122,0.532
Charlotte,NC,9440,5382,0.570
Charlotte,NC,8077,2909,0.360
Charlotte,NC,9551,9013,0.944
Charlotte,NC,5553,3869,0.697
Charlotte,NC,4198,4017,0.957
Charlotte,NC,9866,4293,0.435
Charlotte,NC,6816,5429,0.797
Charlotte,NC,8179,6791,0.830
Charlotte,NC,6013,3692,0.614
Charlotte,NC,2626,121,0.046
Charlotte,NC,2824,12,0.004
Charlotte,NC,975,614,0.630
Charlotte,NC,9945,3247,0.326
Charlotte,NC,5152,2384,0.463
Charlotte,NC,1901,165,0.087
Charlotte,NC,5664,1336,0.236
Charlotte,NC,1378,85,0.062
Charlotte,NC,5052,2988,0.591
Charlotte,NC,9337,1510,0.162
Charlotte,NC,2256,1395,0.618
Charlotte,NC,9213,5395,0.586
Fayetteville,NC,1572,92,0.059
Fayetteville,NC,4713,727,0.154
Fayetteville,NC,7836,5216,0.666
Fayetteville,NC,3197,2277,0.712
Fayetteville,NC,7358,6214,0.845
Fayetteville,NC,4807,4044,0.841
Fort Bragg,NC,7999,2813,0.352
Pope A F B,NC,5221,1263,0.242
Fayetteville,NC,5060,2910,0.575
Fort Bragg,NC,8112,3259,0.402
Fayetteville,NC,8324,7193,0.864
Fayetteville,NC,2204,349,0.158
Fayetteville,NC,2738,1583,0.578
Aberdeen,NC,3954,1364,0.345
Autryville,NC,646,366,0.567
Barnesville,NC,5819,5742,0.987
Bladenboro,NC,1777,1360,0.765
Bunnlevel,NC,9410,412,0.044
Calypso,NC,5191,1132,0.218
Cameron,NC,961,812,0.845
Carthage,NC,260,35,0.135
Clinton,NC,6729,6652,0.989
Clinton,NC,5565,3140,0.564
Cordova,NC,8524,728,0.085
Cumberland,NC,3,2,0.667
Dublin,NC,3982,2578,0.647
Dudley,NC,4727,3247,0.687
Dunn,NC,9121,6955,0.763
Dunn,NC,1020,144,0.141
Elizabethtown,NC,6065,251,0.041
Ellerbe,NC,4022,2834,0.705
Erwin,NC,1012,321,0.317
Fairmont,NC,5968,2551,0.427
Faison,NC,847,34,0.040
Falcon,NC,1544,1114,0.722
Gibson,NC,2313,1964,0.849
Godwin,NC,1872,970,0.518
Hamlet,NC,612,97,0.158
Hoffman,NC,4795,2011,0.419
Hope Mills,NC,3880,573,0.148
Kenansville,NC,7593,4376,0.576
Lakeview,NC,2319,2275,0.981
Laurel Hill,NC,8259,6522,0.790
Laurinburg,NC,2370,1248,0.527
Laurinburg,NC,3907,2571,0.658
Lemon Springs,NC,6156,4876,0.792
Linden,NC,8008,4195,0.524
Lumber Bridge,NC,114,63,0.553
Lumberton,NC,8656,4639,0.536
Lumberton,NC,279,225,0.806
Lumberton,NC,5784,1652,0.286
Marietta,NC,5758,1578,0.274
Marston,NC,3223,1983,0.615
Maxton,NC,866,863,0.997
Mount Olive,NC,4921,2672,0.543
Newton Grove,NC,8464,6627,0.783
Norman,NC,9581,7241,0.756
Olivia,NC,4892,4168,0.852
Orrum,NC,5129,3570,0.696
Pinehurst,NC,4125,1883,0.456
Parkton,NC,7469,557,0.075
Pembroke,NC,6222,2142,0.344
Pinebluff,NC,4913,542,0.110
Pinehurst,NC,9107,2320,0.255
Proctorville,NC,5864,5753,0.981
Raeford,NC,3041,1672,0.550
Red Springs,NC,4275,850,0.199
Rex,NC,2150,1060,0.493
Rockingham,NC,3335,1747,0.524
Rockingham,NC,1688,230,0.136
Roseboro,NC,7886,6414,0.813
Rowland,NC,478,141,0.295
Saint Pauls,NC,7745,2762,0.357
Salemburg,NC,6718,1306,0.194
Shannon,NC,2897,1542,0.532
Southern Pines,NC,3544,2954,0.834
Southern Pines,NC,9512,173,0.018
Spring Lake,NC,4659,3959,0.850
Stedman,NC,4898,2642,0.539
Tar Heel,NC,9766,141,0.014
Turkey,NC,5271,4415,0.838
Vass,NC,5644,1096,0.194
Wade,NC,8596,5619,0.654
Wagram,NC,1721,699,0.406
Warsaw,NC,6145,2208,0.359
White Oak,NC,7401,3045,0.411
Wilmington,NC,8088,7647,0.945
Wilmington,NC,8861,5418,0.611
Wilmington,NC,7205,4985,0.692
Wilmington,NC,2803,561,0.200
Wilmington,NC,8166,23,0.003
Wilmington,NC,466,124,0.266
Wilmington,NC,1329,1226,0.922
Wilmington,NC,6019,4682,0.778
Wilmington,NC,4017,1070,0.266
Wilmington,NC,1768,267,0.151
Wilmington,NC,160,153,0.956
Wilmington,NC,7482,3166,0.423
Ash,NC,1544,623,0.403
Atkinson,NC,7525,1105,0.147
Bolivia,NC,9554,5800,0.607
Bolton,NC,7610,874,0.115
Brunswick,NC,7306,2707,0.371
Burgaw,NC,6646,2627,0.395
Carolina Beach,NC,1288,1276,0.991
Castle Hayne,NC,2902,737,0.254
Cerro Gordo,NC,4203,1528,0.364
Chadbourn,NC,4331,1828,0.422
Clarendon,NC,4291,2730,0.636
Clarkton,NC,6833,4482,0.656
Council,NC,1984,1282,0.646
Currie,NC,2743,845,0.308
Delco,NC,4796,2447,0.510
Evergreen,NC,4422,2252,0.509
Fair Bluff,NC,5331,3554,0.667
Garland,NC,6992,4650,0.665
Hallsboro,NC,6324,5092,0.805
Hampstead,NC,7187,293,0.041
Harrells,NC,5268,3590,0.681
Holly Ridge,NC,9267,7577,0.818
Ivanhoe,NC,5625,2020,0.359
Kelly,NC,3327,1053,0.317
Kure Beach,NC,8928,8245,0.923
Lake Waccamaw,NC,4891,69,0.014
Leland,NC,7387,5056,0.684
Longwood,NC,6609,4001,0.605
Magnolia,NC,2214,995,0.449
Maple Hill,NC,7630,1697,0.222
Nakina,NC,2142,2121,0.990
Riegelwood,NC,3918,3201,0.817
Rocky Point,NC,4218,1897,0.450
Rose Hill,NC,4917,4389,0.893
Shallotte,NC,2338,564,0.241
Sneads Ferry,NC,8596,1288,0.150
Southport,NC,7556,4421,0.585
Supply,NC,7553,3947,0.523
Tabor City,NC,195,140,0.718
Teachey,NC,1103,443,0.402
Oak Island,NC,2034,1676,0.824
Wallace,NC,9563,1085,0.113
Calabash,NC,6761,1138,0.168
Sunset Beach,NC,7594,1788,0.235
Ocean Isle Beach,NC,538,295,0.548
Shallotte,NC,2630,788,0.300
Whiteville,NC,4827,3351,0.694
Willard,NC,1572,1123,0.714
Winnabow,NC,9329,6987,0.749
Wrightsville Beach,NC,379,25,0.066
Kinston,NC,1017,252,0.248
Kinston,NC,8515,3082,0.362
Kinston,NC,62,35,0.565
Kinston,NC,3089,1990,0.644
Albertson,NC,7368,5325,0.723
Alliance,NC,9385,2573,0.274
Arapahoe,NC,9960,8317,0.835
Atlantic,NC,6479,2683,0.414
Atlantic Beach,NC,7326,1812,0.247
Ayden,NC,4278,3119,0.729
Bayboro,NC,8351,2262,0.271
Beaufort,NC,2233,1110,0.497
Beulaville,NC,6723,5340,0.794
Bridgeton,NC,2085,1633,0.783
Cedar Island,NC,8650,3140,0.363
Chinquapin,NC,6725,730,0.109
Comfort,NC,1193,239,0.200
Cove City,NC,1857,1524,0.821
Davis,NC,3776,3242,0.859
Deep Run,NC,7123,5254,0.738
Dover,NC,2305,773,0.335
Ernul,NC,4180,427,0.102
Gloucester,NC,8353,2555,0.306
Grantsboro,NC,8408,4154,0.494
Grifton,NC,5244,2899,0.553
Harkers Island,NC,2881,2107,0.731
Havelock,NC,9389,1135,0.121
Cherry Point,NC,4936,2285,0.463
Hobucken,NC,8330,723,0.087
Hookerton,NC,2233,949,0.425
Hubert,NC,6333,5211,0.823
Jacksonville,NC,1402,484,0.345
Jacksonville,NC,5911,5185,0.877
Camp Lejeune,NC,3697,3225,0.872
Tarawa Terrace,NC,9541,5850,0.613
Midway Park,NC,2422,2271,0.938
Mccutcheon Field,NC,3670,3273,0.892
Jacksonville,NC,3847,1921,0.499
Camp Lejeune,NC,768,279,0.363
La Grange,NC,1973,698,0.354
Lowland,NC,6267,4372,0.698
Marshallberg,NC,3259,2676,0.821
Maury,NC,6498,1702,0.262
Maysville,NC,2821,454,0.161
Merritt,NC,4199,2863,0.682
Morehead City,NC,9139,7156,0.783
New Bern,NC,7945,6464,0.814
New Bern,NC,4178,255,0.061
New Bern,NC,5012,4929,0.983
New Bern,NC,8496,8063,0.949
New Bern,NC,1184,463,0.391
Newport,NC,4977,4889,0.982
Oriental,NC,5846,418,0.072
Pink Hill,NC,5024,3353,0.667
Pollocksville,NC,8061,6514,0.808
Richlands,NC,7247,5951,0.821
Salter Path,NC,8617,6274,0.728
Sealevel,NC,9836,3957,0.402
Seven Springs,NC,3192,2929,0.918
Smyrna,NC,6181,4090,0.662
Snow Hill,NC,6944,56,0.008
Stacy,NC,1032,757,0.734
Stella,NC,9212,2629,0.285
Stonewall,NC,5655,3741,0.662
Swansboro,NC,2448,88,0.036
Trenton,NC,5180,4136,0.798
Vanceboro,NC,2644,492,0.186
Vandemere,NC,5045,513,0.102
Williston,NC,6994,6652,0.951
Winterville,NC,9661,6937,0.718
Emerald Isle,NC,1488,520,0.349
Hickory,NC,9122,897,0.098
Hickory,NC,9813,6446,0.657
Hickory,NC,771,674,0.874
Banner Elk,NC,8526,4260,0.500
Blowing Rock,NC,3047,2994,0.983
Boomer,NC,9958,7464,0.750
Boone,NC,7454,6849,0.919
Boone,NC,1769,265,0.150
Catawba,NC,3743,834,0.223
Claremont,NC,7490,7047,0.941
Collettsville,NC,2244,128,0.057
Connellys Springs,NC,4079,868,0.213
Conover,NC,4908,879,0.179
Creston,NC,9547,4647,0.487
Crossnore,NC,2250,1109,0.493
Crumpler,NC,3752,1286,0.343
Deep Gap,NC,6119,2444,0.399
Drexel,NC,4346,3961,0.911
Elkin,NC,8679,3185,0.367
Elk Park,NC,3843,3300,0.859
Ennice,NC,5407,3239,0.599
Ferguson,NC,8090,111,0.014
Statesville,NC,4582,1219,0.266
Fleetwood,NC,7116,1843,0.259
Glade Valley,NC,3145,728,0.231
Glen Alpine,NC,6915,742,0.107
Glendale Springs,NC,4323,2595,0.600
Granite Falls,NC,5036,1703,0.338
Grassy Creek,NC,7002,4151,0.593
Lenoir,NC,7267,2275,0.313
Harmony,NC,5736,2707,0.472
Hays,NC,7852,5293,0.674
Hiddenite,NC,1289,201,0.156
Hildebran,NC,6920,6121,0.885
Hudson,NC,2843,730,0.257
Jefferson,NC,9892,3540,0.358
Jonas Ridge,NC,121,31,0.256
Jonesville,NC,8754,82,0.009
Lansing,NC,139,48,0.345
Laurel Springs,NC,5747,2005,0.349
Lenoir,NC,9922,9663,0.974
Linville,NC,4562,1348,0.295
Linville Falls,NC,5321,4126,0.775
Mc Grady,NC,907,465,0.513
Maiden,NC,6280,1747,0.278
Millers Creek,NC,6161,316,0.051
Minneapolis,NC,5139,3921,0.763
Montezuma,NC,6281,5513,0.878
Moravian Falls,NC,9659,1199,0.124
Morganton,NC,391,156,0.399
North Wilkesboro,NC,6495,5473,0.843
Newland,NC,372,96,0.258
Newton,NC,4501,1332,0.296
North Wilkesboro,NC,4207,53,0.013
Olin,NC,661,498,0.753
Patterson,NC,5732,5014,0.875
Pineola,NC,5647,2966,0.525
Piney Creek,NC,7215,4504,0.624
Plumtree,NC,669,62,0.093
Purlear,NC,4380,4050,0.925
Icard,NC,7634,6512,0.853
Rhodhiss,NC,4089,1800,0.440
Roaring Gap,NC,949,200,0.211
Roaring River,NC,4510,2924,0.648
Ronda,NC,5905,5831,0.987
Rutherford College,NC,5722,2915,0.509
Scottville,NC,757,68,0.090
Sherrills Ford,NC,5091,1573,0.309
North Wilkesboro,NC,8975,6066,0.676
Sparta,NC,6624,2662,0.402
State Road,NC,6251,2614,0.418
Statesville,NC,4623,1338,0.289
Stony Point,NC,5124,4603,0.898
Sugar Grove,NC,9284,391,0.042
Morganton,NC,9880,7668,0.776
Taylorsville,NC,9740,7113,0.730
Terrell,NC,519,496,0.956
Thurmond,NC,7082,1296,0.183
Todd,NC,2511,2120,0.844
Traphill,NC,4287,1034,0.241
Statesville,NC,1982,1049,0.529
Turnersburg,NC,1196,7,0.006
Union Grove,NC,4707,20,0.004
Valdese,NC,5231,1896,0.362
Valle Crucis,NC,3524,3373,0.957
Vilas,NC,7642,3146,0.412
Warrensville,NC,6271,6017,0.959
West Jefferson,NC,6193,3154,0.509
Wilkesboro,NC,8393,6886,0.820
Zionville,NC,333,289,0.868
Scotts,NC,3751,1153,0.307
Alexander,NC,5229,421,0.081
Almond,NC,5263,1110,0.211
Arden,NC,5843,2947,0.504
Bakersville,NC,2421,215,0.089
Balsam,NC,9726,3293,0.339
Balsam Grove,NC,1477,364,0.246
Barnardsville,NC,1250,943,0.754
Bat Cave,NC,9114,8734,0.958
Black Mountain,NC,4918,1691,0.344
Brevard,NC,4732,3884,0.821
Bryson City,NC,1676,1226,0.732
Burnsville,NC,5067,3814,0.753
Candler,NC,1014,15,0.015
Canton,NC,8229,2931,0.356
Cashiers,NC,9664,1585,0.164
Cedar Mountain,NC,6619,4135,0.625
Cherokee,NC,4240,2804,0.661
Chimney Rock,NC,2596,944,0.364
Clyde,NC,7752,2957,0.381
Columbus,NC,5828,2764,0.474
Cullowhee,NC,350,37,0.106
Dana,NC,1993,120,0.060
Dillsboro,NC,1550,672,0.434
East Flat Rock,NC,2894,2256,0.780
Edneyville,NC,3562,3311,0.930
Enka,NC,3266,3086,0.945
Etowah,NC,2885,2331,0.808
Fairview,NC,4796,3405,0.710
Flat Rock,NC,3075,1868,0.607
Fletcher,NC,5501,4726,0.859
Fontana Dam,NC,7110,6213,0.874
Franklin,NC,9490,5178,0.546
Gerton,NC,420,395,0.940
Glenville,NC,9623,8276,0.860
Glenwood,NC,9751,8279,0.849
Hazelwood,NC,4730,1016,0.215
Hendersonville,NC,4063,176,0.043
Green Mountain,NC,475,247,0.520
Highlands,NC,995,40,0.040
Horse Shoe,NC,2481,1132,0.456
Hot Springs,NC,6580,775,0.118
Franklin,NC,6885,3027,0.440
Lake Junaluska,NC,7255,6751,0.931
Lake Lure,NC,6273,5805,0.925
Lake Toxaway,NC,8574,495,0.058
Leicester,NC,479,344,0.718
Little Switzerland,NC,1755,1701,0.969
Lynn,NC,8016,4205,0.525
Maggie Valley,NC,7412,6752,0.911
Marion,NC,4,1,0.250
Marshall,NC,3718,2904,0.781
Mars Hill,NC,8049,5008,0.622
Micaville,NC,2581,99,0.038
Mill Spring,NC,853,574,0.673
Montreat,NC,6818,2233,0.328
Mountain Home,NC,61,11,0.180
Mills River,NC,4165,2234,0.536
Naples,NC,4593,1963,0.427
Nebo,NC,6333,4069,0.643
Old Fort,NC,5395,5316,0.985
Otto,NC,1797,401,0.223
Penland,NC,1575,1250,0.794
Penrose,NC,4830,1264,0.262
Pisgah Forest,NC,3859,141,0.037
Ridgecrest,NC,5955,4279,0.719
Robbinsville,NC,9288,8800,0.947
Rosman,NC,8961,1498,0.167
Saluda,NC,3126,1377,0.440
Sapphire,NC,9974,5252,0.527
Scaly Mountain,NC,5703,906,0.159
Skyland,NC,9682,6502,0.672
Spruce Pine,NC,6761,4037,0.597
Swannanoa,NC,9475,503,0.053
Sylva,NC,6702,4914,0.733
Topton,NC,820,67,0.082
Tryon,NC,929,798,0.859
Tuckasegee,NC,372,27,0.073
Tuxedo,NC,9883,1041,0.105
Waynesville,NC,2494,793,0.318
Waynesville,NC,3294,428,0.130
Weaverville,NC,7756,224,0.029
Webster,NC,7767,4045,0.521
Whittier,NC,6869,2668,0.388
Zirconia,NC,7014,3335,0.475
Hendersonville,NC,2559,654,0.256
Hendersonville,NC,7483,7251,0.969
Hendersonville,NC,7013,2433,0.347
Asheville,NC,4161,3910,0.940
Asheville,NC,3664,889,0.243
Asheville,NC,865,864,0.999
Asheville,NC,750,214,0.285
Asheville,NC,3823,238,0.062
Asheville,NC,2624,237,0.090
Asheville,NC,3329,288,0.087
Asheville,NC,9292,5377,0.579
Asheville,NC,9108,399,0.044
Asheville,NC,3042,2139,0.703
Asheville,NC,73,25,0.342
Andrews,NC,6139,5627,0.917
Brasstown,NC,6751,5892,0.873
Culberson,NC,5778,3024,0.523
Hayesville,NC,3918,955,0.244
Marble,NC,2431,193,0.079
Murphy,NC,7753,5789,0.747
Warne,NC,3340,359,0.107
Alcolu,SC,677,591,0.873
Ballentine,SC,670,330,0.493
Bamberg,SC,3167,325,0.103
Batesburg,SC,8316,6940,0.835
Bethune,SC,4144,3059,0.738
Bishopville,SC,6199,6029,0.973
Blackstock,SC,9636,5737,0.595
Blair,SC,6445,2182,0.339
Blythewood,SC,5684,166,0.029
Bowman,SC,6112,1006,0.165
Camden,SC,1789,812,0.454
Camden,SC,3380,1367,0.404
Cameron,SC,7553,2026,0.268
Carlisle,SC,6345,2039,0.321
Cassatt,SC,7922,1770,0.223
Cayce,SC,8791,8508,0.968
Chapin,SC,21,14,0.667
Chappells,SC,5509,1008,0.183
Cope,SC,9526,8789,0.923
Cordova,SC,8547,7373,0.863
Dalzell,SC,7958,3170,0.398
Davis Station,SC,2582,2467,0.955
Denmark,SC,5535,1568,0.283
Eastover,SC,1701,1122,0.660
Elgin,SC,7831,4202,0.537
Elliott,SC,5986,3003,0.502
Elloree,SC,4335,3767,0.869
Eutawville,SC,22,4,0.182
Gable,SC,3883,1187,0.306
Gadsden,SC,4071,1386,0.340
Gaston,SC,5196,1944,0.374
Gilbert,SC,5865,4109,0.701
Great Falls,SC,3854,906,0.235
Greeleyville,SC,2244,873,0.389
Heath Springs,SC,7441,1376,0.185
Holly Hill,SC,3832,261,0.068
Hopkins,SC,3561,2238,0.628
Horatio,SC,5887,3497,0.594
Irmo,SC,3662,189,0.052
Jenkinsville,SC,6260,5528,0.883
Kershaw,SC,3789,1605,0.424
Lamar,SC,8789,3254,0.370
Leesville,SC,6034,465,0.077
Lexington,SC,2447,386,0.158
Lexington,SC,8846,1904,0.215
Lexington,SC,2553,1912,0.749
Liberty Hill,SC,3842,2570,0.669
Little Mountain,SC,4443,3406,0.767
Lugoff,SC,7163,4358,0.608
Lydia,SC,7529,2970,0.394
Lynchburg,SC,3364,1537,0.457
Ehrhardt,SC,3995,2211,0.553
Lodge,SC,7218,6439,0.892
Mc Bee,SC,3054,1530,0.501
Manning,SC,1045,829,0.793
Mayesville,SC,2055,1653,0.804
Monetta,SC,1635,1238,0.757
Neeses,SC,5158,2431,0.471
Newberry,SC,2895,24,0.008
New Zion,SC,7824,5791,0.740
North,SC,6700,6383,0.953
Norway,SC,3928,173,0.044
Olanta,SC,8114,5076,0.626
Orangeburg,SC,1562,1141,0.730
Orangeburg,SC,929,689,0.742
Orangeburg,SC,6152,2986,0.485
Orangeburg,SC,8899,8395,0.943
Peak,SC,359,23,0.064
Pelion,SC,119,56,0.471
Pinewood,SC,7462,60,0.008
Pomaria,SC,754,602,0.798
Prosperity,SC,6511,1486,0.228
Rembert,SC,2858,699,0.245
Ridge Spring,SC,2894,1631,0.564
Ridgeway,SC,5717,1752,0.306
Rion,SC,8329,6529,0.784
Rowesville,SC,2713,871,0.321
Saint Matthews,SC,9556,4250,0.445
Salley,SC,9724,8627,0.887
Saluda,SC,2629,1754,0.667
Santee,SC,9253,250,0.027
Sardinia,SC,2939,1069,0.364
Silverstreet,SC,5617,3945,0.702
Springfield,SC,9976,9735,0.976
State Park,SC,3566,151,0.042
Summerton,SC,7426,6040,0.813
Sumter,SC,7886,1831,0.232
Sumter,SC,1850,840,0.454
Shaw A F B,SC,1163,1026,0.882
Sumter,SC,1216,179,0.147
Sumter,SC,3231,115,0.036
Swansea,SC,7314,89,0.012
Timmonsville,SC,3026,2594,0.857
Turbeville,SC,4505,2791,0.620
Vance,SC,9915,5740,0.579
Wagener,SC,1278,268,0.210
Ward,SC,6764,1131,0.167
Wedgefield,SC,8848,6680,0.755
West Columbia,SC,6820,5172,0.758
West Columbia,SC,8657,1192,0.138
West Columbia,SC,5611,4624,0.824
West Columbia,SC,9667,9060,0.937
Westville,SC,434,78,0.180
White Rock,SC,6355,137,0.022
Whitmire,SC,4184,1443,0.345
Winnsboro,SC,5697,3807,0.668
Columbia,SC,6106,4432,0.726
Columbia,SC,4580,2802,0.612
Columbia,SC,3515,74,0.021
Columbia,SC,1047,137,0.131
Columbia,SC,6984,1896,0.271
Columbia,SC,4239,104,0.025
Columbia,SC,5953,4789,0.804
Columbia,SC,1851,338,0.183
Columbia,SC,9302,2101,0.226
Columbia,SC,9260,8361,0.903
Columbia,SC,9387,1201,0.128
Columbia,SC,7595,174,0.023
Columbia,SC,8003,6745,0.843
Columbia,SC,8543,1609,0.188
Columbia,SC,9631,5003,0.519
Columbia,SC,589,80,0.136
Columbia,SC,1237,78,0.063
Columbia,SC,7481,2536,0.339
Columbia,SC,2381,2292,0.963
Columbia,SC,9975,6965,0.698
Columbia,SC,984,255,0.259
Columbia,SC,6474,4903,0.757
Columbia,SC,2485,70,0.028
Columbia,SC,1007,201,0.200
Columbia,SC,606,295,0.487
Columbia,SC,6870,2174,0.316
Columbia,SC,400,239,0.598
Columbia,SC,6895,137,0.020
Columbia,SC,7286,2294,0.315
Columbia,SC,5254,2180,0.415
Columbia,SC,4084,3424,0.838
Columbia,SC,2106,1842,0.875
Columbia,SC,1417,1360,0.960
Columbia,SC,4745,533,0.112
Spartanburg,SC,8675,860,0.099
Spartanburg,SC,978,503,0.514
Spartanburg,SC,9370,242,0.026
Spartanburg,SC,3836,968,0.252
Spartanburg,SC,4651,718,0.154
Spartanburg,SC,4225,2932,0.694
Spartanburg,SC,9050,4081,0.451
Boiling Springs,SC,1934,1656,0.856
Spartanburg,SC,9377,6967,0.743
Spartanburg,SC,3761,333,0.089
Arcadia,SC,5136,223,0.043
Buffalo,SC,7,5,0.714
Campobello,SC,5246,1081,0.206
Chesnee,SC,9538,9074,0.951
Clifton,SC,405,129,0.319
Clinton,SC,1239,974,0.786
Converse,SC,1314,169,0.129
Cowpens,SC,7300,7061,0.967
Cross Anchor,SC,2053,647,0.315
Cross Hill,SC,9873,8579,0.869
Drayton,SC,444,250,0.563
Duncan,SC,330,169,0.512
Enoree,SC,4808,3000,0.624
Fairforest,SC,2670,2262,0.847
Fingerville,SC,6706,4383,0.654
Gaffney,SC,8269,1226,0.148
Gaffney,SC,4313,3764,0.873
Gaffney,SC,3136,401,0.128
Glendale,SC,311,130,0.418
Gramling,SC,1729,760,0.440
Inman,SC,7343,3791,0.516
Joanna,SC,9263,3103,0.335
Jonesville,SC,8322,993,0.119
Kinards,SC,2829,91,0.032
Landrum,SC,8686,735,0.085
Laurens,SC,1049,535,0.510
Lockhart,SC,4698,2862,0.609
Lyman,SC,4452,993,0.223
Mayo,SC,7284,4815,0.661
Moore,SC,5510,2781,0.505
Mountville,SC,8345,1083,0.130
Pacolet,SC,2238,732,0.327
Pacolet Mills,SC,6093,3418,0.561
Pauline,SC,4133,854,0.207
Reidville,SC,9198,8494,0.923
Roebuck,SC,2519,2324,0.923
Startex,SC,8811,7892,0.896
Una,SC,1555,395,0.254
Union,SC,8014,6116,0.763
Waterloo,SC,1658,1211,0.730
Wellford,SC,8632,2140,0.248
White Stone,SC,9654,1637,0.170
Woodruff,SC,7864,4064,0.517
Duncan,SC,2623,1584,0.604
Duncan,SC,8620,2888,0.335
Jonesville,SC,3051,892,0.292
Charleston,SC,945,411,0.435
Charleston,SC,9616,3824,0.398
Charleston,SC,8910,4460,0.501
Charleston Afb,SC,705,566,0.803
North Charleston,SC,5974,732,0.123
Charleston,SC,8364,4157,0.497
Charleston,SC,8991,5710,0.635
Charleston,SC,263,1,0.004
North Charleston,SC,6893,638,0.093
Charleston,SC,6293,3607,0.573
Charleston,SC,5791,1599,0.276
Charleston,SC,9389,6629,0.706
North Charleston,SC,1152,486,0.422
Charleston,SC,7025,742,0.106
Charleston,SC,914,238,0.260
North Charleston,SC,8379,3460,0.413
North Charleston,SC,7669,3803,0.496
North Charleston,SC,3542,579,0.163
Charleston,SC,4936,2548,0.516
Charleston,SC,6024,2588,0.430
Charleston,SC,5125,3930,0.767
Charleston,SC,5952,3694,0.621
Adams Run,SC,3542,3272,0.924
Awendaw,SC,8419,8273,0.983
Bethera,SC,5322,588,0.110
